,Unnamed: 0,Track Name,Artist,Track ID,Popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
71,71,Lie To Me (feat. Julia Michaels),5 Seconds of Summer,6GzApXoBQiiAjak3tOQfV3,63.0,0.0132,0.611,149878.0,0.52,0.0,0.0,0.105,-5.445,1.0,0.0346,159.927,4.0,0.771
72,72,Moving Along,5 Seconds of Summer,4UQajPk0EPvbwWTl0fYi4C,53.0,0.00529,0.713,197518.0,0.829,0.0,11.0,0.221,-4.297,0.0,0.203,149.996,4.0,0.845
73,73,No Shame,5 Seconds of Summer,5EbidH3lGB30WuDsoR4km6,58.0,0.0185,0.576,192737.0,0.807,2.4e-06,7.0,0.0963,-3.019,1.0,0.0374,90.932,4.0,0.479
74,74,Old Me,5 Seconds of Summer,58qO4dGa5SgNdtvqvpewyz,61.0,0.313,0.722,186786.0,0.62,0.0,0.0,0.26,-3.639,1.0,0.0483,127.978,4.0,0.474
75,75,Red Desert,5 Seconds of Summer,288li8gcr0oOAHDwAERZHS,56.0,0.0205,0.501,229557.0,0.83,2.52e-06,9.0,0.0563,-4.474,1.0,0.118,133.927,4.0,0.449
76,76,Talk Fast,5 Seconds of Summer,1pMrGc8rMC5qx0zMak8tkd,55.0,0.0318,0.803,187235.0,0.719,2.88e-05,4.0,0.0742,-3.354,1.0,0.0474,145.983,4.0,0.608
77,77,Teeth,5 Seconds of Summer,3NxWJWftvkstyxvb1pZlFo,76.0,0.0437,0.745,205503.0,0.454,3.47e-06,3.0,0.0741,-2.986,0.0,0.0392,139.007,4.0,0.43
78,78,Valentine,5 Seconds of Summer,19hh7DkfRBrpRGYfKlw7jb,58.0,0.0601,0.746,196628.0,0.767,1.07e-05,1.0,0.0859,-2.907,0.0,0.0374,94.007,4.0,0.773
79,79,Want You Back,5 Seconds of Summer,2vHfabj6nFebekTYODqntl,63.0,0.00699,0.618,173082.0,0.867,1.03e-06,0.0,0.202,-4.915,1.0,0.0439,98.03,4.0,0.579
80,80,Wildflower,5 Seconds of Summer,6qlcjGJPTZEwR8nf2nSe9C,57.0,0.174,0.644,220536.0,0.768,0.0,6.0,0.469,-4.316,1.0,0.0455,108.992,4.0,0.598
81,81,Youngblood,5 Seconds of Summer,2iUXsYOEPhVqEBwsqP70rE,82.0,0.0169,0.596,203418.0,0.854,0.0,7.0,0.124,-5.114,0.0,0.463,120.274,4.0,0.152
82,82,BEBE,6ix9ine,4jCodMLVA5tV5MhPrspTfV,69.0,0.175,0.636,217822.0,0.896,0.0,0.0,0.112,-3.755,1.0,0.0989,102.074,4.0,0.319
83,83,BILLY,6ix9ine,5GyEbpUAN4ErmlPOxKgODR,66.0,0.184,0.759,112667.0,0.704,0.0,4.0,0.104,-4.03,0.0,0.3,90.055,4.0,0.748
84,84,DUMMY,6ix9ine,5XJ3VZJ5sY6eueofr2QyF0,43.0,0.09,0.721,155653.0,0.622,4.46e-06,5.0,0.0976,-7.395,0.0,0.0708,91.01,4.0,0.595
85,85,FEEFA,6ix9ine,1mGTsecpndMqBCMYypROXl,52.0,0.0935,0.868,191103.0,0.617,2.05e-05,11.0,0.105,-6.122,1.0,0.0476,118.006,4.0,0.195
86,86,FEFE,6ix9ine,43VXG87ajppI8mO1Mxo8vu,69.0,0.0896,0.93,179405.0,0.383,0.0,1.0,0.119,-9.34,1.0,0.409,125.967,4.0,0.385
87,87,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,43VXG87ajppI8mO1Mxo8vu,69.0,0.0896,0.93,179405.0,0.383,0.0,1.0,0.119,-9.34,1.0,0.409,125.967,4.0,0.385
88,88,GOOBA,6ix9ine,2zvDnNLW4yZ4a0YcGiOEBX,68.0,0.0264,0.611,132303.0,0.688,0.0,1.0,0.251,-5.688,1.0,0.341,178.462,4.0,0.393
89,89,GOTTI,6ix9ine,6FPxVmp66GVKkVvfiBWly4,63.0,0.0563,0.733,166852.0,0.584,0.0,10.0,0.0641,-7.485,0.0,0.174,161.944,4.0,0.36
90,90,GUMMO,6ix9ine,2HBtd9MYDd2xDVu8Zc6pwt,62.0,0.0511,0.691,157643.0,0.771,0.0,10.0,0.135,-5.17,0.0,0.164,78.463,4.0,0.673
91,91,KANGA,6ix9ine,0FWuoZiZygtNkeJqF9tXZC,47.0,0.0196,0.902,132331.0,0.592,0.0,0.0,0.0962,-7.151,1.0,0.179,117.899,4.0,0.348
92,92,KEKE,6ix9ine,7ELPiYjcp2DjvbrKdqcAx1,61.0,0.0275,0.594,151915.0,0.858,0.0,7.0,0.398,-5.933,1.0,0.297,187.81,4.0,0.486
93,93,KIKA,6ix9ine,2gGyUF86bijvQyjcOcJxNw,62.0,0.126,0.742,136032.0,0.709,0.0,1.0,0.177,-3.585,0.0,0.259,94.618,4.0,0.324
94,94,KOODA,6ix9ine,40LaNujg5lvImKt0N4xDge,58.0,0.187,0.889,142582.0,0.626,0.0,1.0,0.218,-4.666,1.0,0.347,91.196,4.0,0.193
95,95,LOCKED UP PT. 2,6ix9ine,0wHN9xMRbnlcdJNziRE5dm,48.0,0.0332,0.649,203333.0,0.779,0.0,7.0,0.299,-4.719,1.0,0.115,89.978,4.0,0.503
96,96,MALA,6ix9ine,5tYCl2bT9bDjMuTyn6OVb0,74.0,0.693,0.719,206550.0,0.822,0.0,5.0,0.0997,-3.84,0.0,0.0427,99.998,4.0,0.785
97,97,MAMA,6ix9ine,5SOYmkRawOJrpufdWsAfo8,55.0,0.081,0.761,192405.0,0.661,9.98e-06,1.0,0.14,-6.084,1.0,0.211,160.063,3.0,0.435
98,98,PUNANI,6ix9ine,4OsSMiSSdUkjGnD41M0Y9u,52.0,0.0186,0.841,115255.0,0.541,0.0,9.0,0.123,-7.121,1.0,0.229,97.961,4.0,0.42
99,99,RONDO,6ix9ine,5e4AYaVnzJnR5H7tVbox9S,48.0,0.0514,0.602,138474.0,0.785,0.0,9.0,0.75,-5.041,0.0,0.284,189.931,4.0,0.756
100,100,STOOPID,6ix9ine,52OczisW5YSWIAJiygxs1M,55.0,0.125,0.732,152000.0,0.628,0.0,11.0,0.157,-4.513,1.0,0.387,150.053,4.0,0.84
101,101,TATI,6ix9ine,0CFJoopJPNMEC7Itmp64Yb,57.0,0.00227,0.759,154565.0,0.759,0.0,1.0,0.109,-5.68,1.0,0.301,91.967,4.0,0.505
102,102,TIC TOC,6ix9ine,0uEkcxPKj9JE0nxlwJWYlE,51.0,0.012,0.817,135739.0,0.687,0.0,6.0,0.344,-6.857,0.0,0.0762,142.024,4.0,0.692
103,103,TROLLZ (with Nicki Minaj),6ix9ine,3xIzkKqp7oe37NEVrcPjGS,61.0,0.0319,0.744,202667.0,0.422,0.00011,1.0,0.11,-8.946,1.0,0.294,180.006,4.0,0.493
104,104,TUTU,6ix9ine,6JgHGy8qBDy4b4v0TR6zAI,48.0,0.0608,0.833,164000.0,0.778,0.0,4.0,0.12,-5.455,0.0,0.0575,120.011,4.0,0.55
105,105,WAKA,6ix9ine,4uax9U22ZAdqUxTMF1beUf,58.0,0.088,0.77,128769.0,0.807,0.0,7.0,0.108,-4.2,0.0,0.207,97.383,4.0,0.634
106,106,WONDO,6ix9ine,1HWbcIzvzEgy6nLrxIK3et,41.0,0.0865,0.777,121129.0,0.831,0.0,7.0,0.15,-6.098,1.0,0.28,92.897,4.0,0.512
107,107,YAYA,6ix9ine,6EfBMJQwe2xLgldra6DaYp,54.0,0.00289,0.672,149857.0,0.733,0.0,11.0,0.199,-5.377,1.0,0.0566,105.043,4.0,0.354
108,108,Balenciaga Challenge (feat. Offset),6LACK,6Zisja44KqMZj4GM4UY6Yv,49.0,0.0895,0.744,187217.0,0.394,6.66e-06,5.0,0.279,-9.828,0.0,0.419,142.961,4.0,0.658
109,109,East Atlanta Love Letter (feat. Future),6LACK,6rJmWa5DvQ3Nby3tdcX2L0,54.0,0.389,0.581,246088.0,0.315,1.68e-05,5.0,0.0766,-11.947,0.0,0.0781,61.381,4.0,0.185
110,110,Ex Calling,6LACK,1MQ8ydvrTnn2QJgXFATJvD,63.0,0.00561,0.773,211960.0,0.564,1.99e-05,1.0,0.213,-7.241,1.0,0.249,155.976,4.0,0.0588
111,111,Know My Rights (feat. Lil Baby),6LACK,7fsNNSLGG8Wi0nFbufCU6L,60.0,0.249,0.789,194396.0,0.419,0.0257,1.0,0.123,-9.874,0.0,0.157,117.988,4.0,0.542
112,112,Loaded Gun,6LACK,1wb7Mqon4o1ViLjaLV9f8U,51.0,0.1,0.646,198442.0,0.549,2.06e-05,1.0,0.12,-6.515,0.0,0.0704,127.994,4.0,0.241
113,113,Pretty Little Fears (feat. J. Cole),6LACK,4at3d5QWnlibMVN75ECDrp,74.0,0.696,0.61,240342.0,0.458,0.000103,9.0,0.0852,-11.336,1.0,0.36,192.099,4.0,0.246
114,114,Unfair,6LACK,3Q33RhbyoFul9LdKKjticI,51.0,0.79,0.397,136916.0,0.257,0.00235,5.0,0.12,-11.134,0.0,0.0499,115.783,4.0,0.0382
115,115,Bleed,A Boogie Wit da Hoodie,5XzombolzpiaOSTdj1W0VS,57.0,0.135,0.698,176959.0,0.572,0.0,2.0,0.154,-7.735,1.0,0.198,71.446,4.0,0.391
116,116,Demons and Angels (feat. Juice WRLD),A Boogie Wit da Hoodie,3L19besdNQzd342qL78xqm,68.0,0.0114,0.81,214593.0,0.55,5.69e-06,2.0,0.107,-7.46,0.0,0.17,76.503,4.0,0.183
117,117,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,1f5cbQtDrykjarZVrShaDI,79.0,0.501,0.839,209269.0,0.81,0.0,5.0,0.117,-5.274,0.0,0.0568,129.014,4.0,0.814
118,118,Flood My Wrist (feat. Lil Uzi Vert),A Boogie Wit da Hoodie,5Tj4faD9lGyMw8ZatUYR6G,48.0,0.00382,0.904,180935.0,0.672,3e-06,1.0,0.138,-6.544,1.0,0.197,139.984,4.0,0.398
119,119,King Of My City,A Boogie Wit da Hoodie,3o0nkjyy6eZL5lZcEpvJec,51.0,0.452,0.48,148676.0,0.679,0.0,4.0,0.152,-6.776,0.0,0.264,81.186,5.0,0.29
120,120,Look Back at It,A Boogie Wit da Hoodie,3Ol2xnObFdKV9pmRD2t9x8,78.0,0.407,0.791,179449.0,0.587,0.0,3.0,0.148,-5.075,0.0,0.0413,96.057,4.0,0.536
121,121,Me and My Guitar,A Boogie Wit da Hoodie,6cZH4rX1KTt1aJ3Ql6Ynja,71.0,0.473,0.644,161765.0,0.587,0.0,7.0,0.0759,-6.736,0.0,0.353,173.972,4.0,0.68
122,122,Might Not Give Up (feat. Young Thug),A Boogie Wit da Hoodie,4l2rsMfr20dj6nf6i6F3Y8,49.0,0.203,0.687,225266.0,0.592,0.0,2.0,0.279,-6.378,1.0,0.224,178.83,4.0,0.246
123,123,Mood Swings,A Boogie Wit da Hoodie,0VZe8C7xgAIQC0E0qEVIEh,57.0,0.211,0.941,156960.0,0.676,4.64e-06,4.0,0.0986,-5.54,0.0,0.0936,120.073,4.0,0.93
124,124,Reply (feat. Lil Uzi Vert),A Boogie Wit da Hoodie,1njRzdfGNUY2RZU0lVO787,54.0,0.0187,0.512,183589.0,0.623,0.0,9.0,0.13,-6.553,0.0,0.0808,112.15,5.0,0.219
125,125,Say A',A Boogie Wit da Hoodie,3AMnOVxEHUgVrythGgqPhI,56.0,0.391,0.831,214854.0,0.814,0.0,5.0,0.109,-5.18,1.0,0.474,161.041,4.0,0.846
126,126,Stain (feat. DaBaby),A Boogie Wit da Hoodie,0dIz1I7IwX5ardG47AHxCZ,43.0,0.0117,0.816,175128.0,0.754,0.0,8.0,0.129,-3.911,1.0,0.389,159.073,4.0,0.604
127,127,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,0jAfdqv18goRTUxm3ilRjb,63.0,0.0235,0.736,192779.0,0.622,0.0,6.0,0.151,-4.653,0.0,0.133,191.971,4.0,0.506
128,128,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,1wJRveJZLSb1rjhnUHQiv6,73.0,0.0153,0.581,189487.0,0.662,0.0,9.0,0.111,-5.239,1.0,0.303,93.023,4.0,0.434
129,129,Thug Love,A Boogie Wit da Hoodie,4MzhmCOgPB7xb87f1CXjlA,53.0,0.428,0.54,181744.0,0.643,0.0,5.0,0.174,-4.707,0.0,0.288,178.125,4.0,0.328
130,130,Oceans Away,A R I Z O N A,6A8dnC0xkiuWN4BshmTB2I,58.0,0.13,0.617,194013.0,0.642,0.157,8.0,0.0929,-8.624,1.0,0.0334,105.885,4.0,0.221
131,131,Jet Lag,A$AP Ferg,2hyF1YWdX8yxExvRelT9nB,54.0,0.0085,0.853,203720.0,0.803,2.41e-05,11.0,0.104,-3.297,1.0,0.292,169.957,4.0,0.433
