,,Track Name,Artist,Track ID,Popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
47,3480,Christmas (Baby Please Come Home),Mariah Carey,3PIDciSFdrQxSQSihim3hN,88,0.022,0.561,153240,0.782,0,3,0.109,-7.444,1,0.0317,127.148,4,0.704
48,3481,O Holy Night,Mariah Carey,3B7FO3kJ5kv3mX7yiaB7sT,82,0.367,0.368,266933,0.505,6.63E-06,4,0.154,-7.208,1,0.0285,173.977,3,0.192
49,3482,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),Mariah Carey,1Ri9P0ZPrqr6h0REDRdJBd,80,0.0339,0.648,200467,0.938,1.28E-06,1,0.0564,-3.298,1,0.115,78.496,4,0.849
50,3483,Silent Night,Mariah Carey,1sFWEpf1aPYN576LS1aa4Y,75,0.812,0.172,219293,0.363,0,10,0.113,-11.667,1,0.0343,174.903,3,0.236
51,3484,Down,Marian Hill,5eCkuGPZNl4mISFNPgr3Dd,55,0.675,0.678,197773,0.357,0.00569,0,0.124,-14.712,0,0.128,113.301,5,0.0661
52,3485,This Is Halloween,Marilyn Manson,042Y7INHELtUGh8LRtl3X5,54,0.118,0.484,202333,0.95,7.30E-05,5,0.0943,-6.359,0,0.175,168.196,4,0.331
53,3486,Bubblegum Bitch,MARINA,6IbnUaczZBT34DhaD6S18F,77,0.000219,0.495,154667,0.856,0,0,0.103,-5.123,0,0.0311,158.024,4,0.609
54,3487,Find U Again (feat. Camila Cabello),Mark Ronson,1HpzOCZbNWzxvvXfSGtSrX,54,0.00548,0.605,176417,0.664,3.00E-06,8,0.204,-7.162,1,0.0316,103.997,4,0.164
55,3488,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,02dRkCEc8Q5ch4TTcnLxOn,76,0.00987,0.601,217099,0.794,1.36E-06,7,0.418,-5.844,0,0.0671,114.066,4,0.244
56,3489,Uptown Funk (feat. Bruno Mars),Mark Ronson,32OlwWuMpZ6b0aN2RZOeMS,84,0.00801,0.856,269667,0.609,8.15E-05,0,0.0344,-7.223,1,0.0824,114.988,4,0.928
57,3490,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,5zFglKYiknIxks8geR8rcL,78,0.0377,0.713,227395,0.676,0,10,0.154,-5.483,1,0.027,99.048,4,0.721
58,3491,Cold,Maroon 5,7gwLQ4tZ5UdZ7qNcDyJ8wr,66,0.14,0.693,234308,0.717,0,9,0.0464,-6.346,0,0.107,99.836,4,0.412
59,3492,Don't Wanna Know,Maroon 5,1nueTG77MzNkJTKQ0ZdGzT,63,0.343,0.783,214265,0.61,0,7,0.0983,-6.124,1,0.0696,100.047,4,0.418
60,3493,Girls Like You (feat. Cardi B),Maroon 5,6V1bu6o1Yo5ZXnsCJU8Ovk,66,0.568,0.851,235545,0.541,0,0,0.13,-6.825,1,0.0505,124.959,4,0.448
61,3494,Help Me Out,Maroon 5,1Px62X35tayLsX5V1qx1Mb,41,0.461,0.934,193604,0.564,1.84E-05,11,0.101,-4.806,1,0.0638,115.092,4,0.543
62,3495,Help Me Out (with Julia Michaels),Maroon 5,1Px62X35tayLsX5V1qx1Mb,41,0.461,0.934,193604,0.564,1.84E-05,11,0.101,-4.806,1,0.0638,115.092,4,0.543
63,3496,Memories,Maroon 5,4cktbXiXOapiLBMprHFErI,84,0.841,0.775,189486,0.327,0,11,0.0821,-7.241,1,0.0557,91.05,4,0.595
64,3497,Nobody's Love,Maroon 5,2ST72jD2KVe7f3fbcGyX1b,63,0.316,0.485,211254,0.567,0,1,0.0949,-6.456,1,0.0388,93.676,4,0.157
65,3498,Payphone,Maroon 5,4P0osvTXoSYZZC2n8IFH3c,71,0.0136,0.739,231387,0.756,0,4,0.37,-4.828,1,0.0394,110.028,4,0.523
66,3499,She Will Be Loved - Radio Mix,Maroon 5,4llK75pXNWZz6KAho2Gp16,81,0.228,0.651,259453,0.663,0,0,0.0994,-5.569,0,0.0281,102,4,0.465
67,3500,Sugar,Maroon 5,2iuZJX9X9P0GKaE93xcPjk,81,0.0591,0.748,235493,0.788,0,1,0.0863,-7.055,1,0.0334,120.076,4,0.884
68,3501,This Love,Maroon 5,6ECp64rv50XVz93WvxXMGF,83,0.0525,0.712,206200,0.862,0,5,0.093,-4.612,0,0.0378,95.051,4,0.809
69,3502,Wait,Maroon 5,6AvfZXpbb6r35DfF7gHPRq,59,0.0959,0.655,190643,0.603,0,8,0.107,-5.014,1,0.0555,126.088,4,0.452
70,3503,Wait (feat. A Boogie Wit da Hoodie),Maroon 5,0SvxydoxEEkXt9aMAqTfpB,45,0.0628,0.707,190476,0.608,0,8,0.118,-4.514,1,0.0548,126.121,4,0.414
71,3504,What Lovers Do,Maroon 5,2j5hsQvApottzvTn4pFJWF,66,0.0788,0.799,199849,0.597,5.66E-06,5,0.1,-5.131,0,0.0611,110.001,4,0.419
72,3505,What Lovers Do (feat. SZA),Maroon 5,2j5hsQvApottzvTn4pFJWF,66,0.0788,0.799,199849,0.597,5.66E-06,5,0.1,-5.131,0,0.0611,110.001,4,0.419
73,3506,Whiskey (feat. A$AP Rocky),Maroon 5,6zEOfBb85G0Vaau5skdAUG,40,0.735,0.604,210422,0.405,0,10,0.105,-8.279,1,0.0597,103.98,4,0.0861
74,3507,APPARTENGO - Il sangue (feat. Massimo Pericolo),Marracash,3A22uqfe8OfNkeqJj4Fmc1,49,0.198,0.782,255449,0.637,0,3,0.171,-5.892,0,0.0911,129.981,4,0.801
75,3508,BODY PARTS - I denti,Marracash,20Jv9Gx73P618C5rYt2Tmx,55,0.186,0.724,156715,0.75,0,7,0.388,-5.936,1,0.189,105.977,3,0.393
76,3509,QUALCOSA IN CUI CREDERE - Lo scheletro (feat. Guè Pequeno),Marracash,1t6xoDooMgAqlYDOLTrsxj,53,0.232,0.646,212316,0.874,0,9,0.177,-4.313,1,0.22,79.588,4,0.319
77,3510,QUELLI CHE NON PENSANO - Il cervello (feat. Coez),Marracash,1VOi03r3FelbsYHJXFjphg,47,0.211,0.623,190187,0.684,0,11,0.354,-4.832,0,0.294,177.99,4,0.46
78,3511,SPORT - I muscoli (feat. Luchè),Marracash,21gfGAimNlE8qWZk0cal83,42,0.332,0.88,202339,0.723,0,10,0.203,-6.004,0,0.255,125.023,4,0.387
79,3512,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,5EpBEqf5bnKeJ3p4zA1Sod,52,0.0686,0.656,223045,0.661,0,9,0.125,-5.888,1,0.0602,140.956,4,0.509
80,3513,Alone,Marshmello,3MEYFivt6bilQ9q9mFWZ4g,72,0.0241,0.631,273803,0.953,0.0155,2,0.108,-3.739,1,0.0343,141.99,4,0.422
81,3514,Be Kind (with Halsey),Marshmello,3Z8FwOEN59mRMxDCtb8N0A,74,0.00776,0.63,172762,0.633,0,4,0.0541,-7.088,1,0.0457,93.995,4,0.452
82,3515,FRIENDS,Marshmello,08bNPGLD8AhKpnnERrAc6G,78,0.205,0.626,202621,0.88,0,9,0.128,-2.384,0,0.0504,95.079,4,0.534
83,3516,Happier,Marshmello,7BqHUALzNBTanL6OvsqmC1,84,0.191,0.687,214290,0.792,0,5,0.167,-2.749,1,0.0452,100.011,4,0.671
84,3517,Here With Me,Marshmello,5icOoE6VgqFKohjWWNp0Ac,73,0.0623,0.791,156347,0.565,0,5,0.156,-3.933,0,0.0439,99.961,4,0.181
85,3518,Leave Before You Love Me (with Jonas Brothers),Marshmello,4qu63nuBpdn0qHUHuObEj1,82,0.00226,0.721,154983,0.738,4.41E-06,7,0.118,-4.77,1,0.0403,119.976,4,0.637
86,3519,Light It Up (with Tyga & Chris Brown),Marshmello,4Q8aDd3H6LF8t4eY7So9O8,55,0.0407,0.81,137448,0.625,1.53E-06,11,0.118,-3.593,0,0.071,100.019,4,0.598
87,3520,OK Not To Be OK,Marshmello,0zzVTGyRrWpQu8Fr28NRAv,66,0.0172,0.743,159863,0.837,0,1,0.0743,-5.025,0,0.0649,103.072,4,0.263
88,3521,One Thing Right,Marshmello,4hPpVbbakQNv8YTHYaOJP4,71,0.0644,0.659,181824,0.625,0,4,0.582,-2.253,1,0.045,88.042,4,0.442
89,3522,Project Dreams,Marshmello,6GSkLS2y4ZnnZsuRAj975K,63,0.409,0.78,167898,0.828,0,8,0.104,-2.235,1,0.237,160.113,4,0.786
90,3523,Proud,Marshmello,4YXKVaWzHaVyDq2pVS5cgR,52,0.0372,0.521,191000,0.716,0,0,0.148,-4.999,1,0.0364,77.562,4,0.12
91,3524,Silence,Marshmello,7vGuf3Y35N4wmASOKLUVVU,82,0.256,0.52,180823,0.761,4.96E-06,4,0.17,-3.093,1,0.0853,141.971,4,0.286
92,3525,Spotlight,Marshmello,6VrCmhRBFnuGKmtNfk4jDs,71,0.0145,0.546,177600,0.822,0,7,0.742,-4.483,1,0.151,150.06,4,0.615
93,3526,Tongue Tied (with YUNGBLUD & blackbear),Marshmello,7jzldCBnJjpJM3epzJ85KE,57,0.0208,0.628,186024,0.821,0,1,0.426,-2.721,0,0.0525,93.001,4,0.465
94,3527,Too Much (feat. Usher),Marshmello,39umHdGKfpnjY4TFtnoQ51,56,0.00415,0.712,165704,0.891,0,6,0.258,-2.76,0,0.0401,126.012,4,0.735
95,3528,You Can Cry,Marshmello,3ZbJMlEL4Kcme0ONRO7Slx,49,0.0974,0.491,194533,0.617,0,4,0.27,-4.545,0,0.147,126.816,5,0.17
96,3529,Burn Out (feat. Dewain Whitmore),Martin Garrix,7IWTIkiWGWNQyYfOLdMrGD,55,0.0156,0.594,200322,0.722,0,4,0.0667,-5.751,0,0.0398,127.877,4,0.407
97,3530,Dreamer,Martin Garrix,0wUxh6XMc698xPCfgBaPRV,47,0.0507,0.532,193399,0.639,0.00131,5,0.106,-7.419,0,0.0388,105,4,0.198
98,3531,Drown (feat. Clinton Kane),Martin Garrix,4RVtBlHFKj51Ipvpfv5ER4,65,0.212,0.573,174062,0.739,0,9,0.175,-5.455,1,0.0581,120.077,4,0.363
99,3532,High On Life (feat. Bonn),Martin Garrix,4ut5G4rgB1ClpMTMfjoIuy,71,0.0129,0.414,230762,0.486,0,6,0.111,-6.431,0,0.0311,128.038,4,0.368
