Genre,Master Genre
"['tropical house', 'edm', 'electropop', 'pop', 'pop dance', 'indie poptimism', 'dance pop']",Pop
"['downtempo', 'indietronica', 'dream pop']",Pop
"['pop rap', 'rap', 'southern hip hop', 'trap', 'hip hop', 'dance pop']",Rap
"['nottingham indie', 'metropopolis']",EDM
"['uk dance', 'uk funky', 'tropical house', 'pop dance', 'dance pop', 'house', 'pop', 'edm']",Pop
"['puerto rican pop', 'latin', 'reggaeton', 'latin hip hop', 'trap latino']",Latin
"['pop dance', 'uk dance', 'tropical house', 'dance pop', 'pop', 'house', 'edm', 'pop rap', 'post-teen pop', 'electro house']",Pop
"['indie poptimism', 'tropical house', 'electropop', 'pop dance', 'pop', 'pop edm']",Pop
"['pop', 'etherpop', 'post-teen pop', 'electropop', 'dance pop', 'indie poptimism']",Pop
"['slap house', 'dutch edm', 'brostep', 'big room', 'pop dance', 'edm', 'tropical house', 'trance', 'house', 'dance pop']",EDM
"['puerto rican pop', 'latin', 'latin pop']",Latin
"['post-teen pop', 'social media pop', 'alt z', 'pop', 'dance pop']",Pop
"['pop', 'indie poptimism', 'electropop', 'alt z', 'post-teen pop', 'pop edm', 'dance pop', 'pop dance', 'tropical house', 'indie cafe pop']",Pop
"['pop', 'post-teen pop', 'electropop', 'dance pop']",Pop
"['soundtrack', 'hollywood', 'adult standards', 'show tunes']",Hollywood
['hollywood'],Hollywood
"['pop', 'post-teen pop', 'alt z', 'dance pop', 'electropop']",Pop
"['melodic rap', 'rap', 'trap', 'pop rap', 'vapor trap', 'r&b']",Rap
"['rap', 'trap', 'atl hip hop', 'southern hip hop', 'pop rap', 'dirty south rap', 'gangster rap', 'hip hop']",Rap
"['madchester', 'permanent wave', 'beatlesque', 'britpop', 'rock']",Rock
"['neo mellow', 'singer-songwriter', 'pop rock', 'pop']",Pop
"['vapor trap', 'meme rap', 'underground hip hop', 'trap']",Rap
"['modern rock', 'pop', 'rock']",Pop
"['trap boricua', 'trap latino', 'reggaeton', 'reggaeton flow', 'latin']",Latin
"['toronto rap', 'rap', 'r&b', 'pop rap', 'pop', 'trap', 'urban contemporary']",Rap
"['neo mellow', 'pop rock', 'pop']",Pop
"['reggaeton', 'latin hip hop', 'trap latino', 'latin', 'reggaeton flow', 'perreo']",Latin
"['dance pop', 'pop', 'post-teen pop', 'r&b']",Pop
"['hollywood', 'movie tunes']",Hollywood
"['melodic rap', 'rap', 'miami hip hop', 'florida rap', 'trap', 'southern hip hop', 'hip hop']",Rap
['pop'],Pop
"['progressive electro house', 'big room', 'pop edm', 'electro house', 'pop dance', 'edm', 'funky tech house', 'progressive house', 'german techno']",EDM
"['contemporary country', 'country pop']",Country
"['pop dance', 'edm', 'progressive electro house', 'tropical house', 'electro house', 'dance pop', 'pop']",EDM
"['post-teen pop', 'dance pop']",Pop
"['icelandic indie', 'icelandic rock', 'modern alternative rock', 'modern rock']",Rock
"['album rock', 'rock', 'soft rock', 'classic rock', 'hard rock', 'mellow gold']",Rock
"['pop dance', 'edm', 'tropical house', 'dance pop', 'electro house', 'pop']",Pop
"['post-teen pop', 'pop', 'dance pop', 'viral pop']",Pop
"['norwegian pop', 'dance pop', 'pop']",Pop
"['uk pop', 'pop', 'dance pop']",Pop
"['miami hip hop', 'emo rap']",Hip-Hop
['electro house'],EDM
"['pop', 'post-teen pop', 'viral pop', 'alt z', 'dance pop', 'electropop']",Pop
"['k-pop boy group', 'k-pop']",Pop
['electropop'],Pop
"['pop', 'uk pop', 'dance pop', 'indietronica', 'metropopolis', 'post-teen pop', 'electropop', 'edm']",Pop
['swedish pop'],Pop
"['viral pop', 'pop', 'post-teen pop', 'neo mellow', 'pop rock', 'dance pop']",Pop
"['pop rock', 'permanent wave', 'neo mellow', 'post-grunge', 'alternative rock']",Pop
"['pop rock', 'permanent wave', 'neo mellow', 'irish rock', 'modern rock', 'rock']",Pop
"['eau claire indie', 'melancholia', 'indie folk']",Folk
"['pop rap', 'rap', 'miami hip hop', 'southern hip hop', 'trap', 'hip hop']",Pop
"['rap metal', 'post-grunge', 'nu metal', 'alternative metal']",Rap
"['melodic rap', 'canadian trap', 'rap', 'toronto rap', 'trap', 'canadian hip hop', 'pop rap', 'hip hop']",Rap
"['pop venezolano', 'reggaeton', 'trap latino', 'latin', 'latin pop']",Latin
"['art pop', 'pop']",Pop
"['australian dance', 'alternative dance', 'indietronica', 'filter house', 'nu disco', 'new rave']",EDM
"['pop', 'dance pop', 'edm', 'pop dance', 'german techno', 'complextro', 'post-teen pop', 'tropical house', 'electro house', 'electropop']",Pop
"['dance pop', 'pop', 'post-teen pop', 'pop rap']",Pop
"['grime', 'uk hip hop']",Hip-Hop
"['funk pop', 'funk carioca', 'funk ostentacao']",Pop
"['reggaeton colombiano', 'colombian pop', 'electro latino', 'champeta', 'latin', 'latin pop', 'reggaeton', 'trap latino']",Latin
"['pop', 'post-teen pop', 'viral pop', 'dance pop', 'electropop', 'pop rap']",Pop
"['latin arena pop', 'latin pop', 'mexican pop', 'latin', 'ranchera', 'mariachi', 'regional mexican']",Latin
"['hawaiian hip hop', 'rap', 'pop rap', 'pop']",Hip-Hop
"['pop', 'nz pop', 'metropopolis', 'post-teen pop', 'electropop', 'art pop', 'dance pop']",Pop
"['pop dance', 'tropical house', 'edm', 'pop', 'dance pop', 'pop edm', 'electro house']",EDM
"['queens hip hop', 'pop', 'dance pop', 'pop rap', 'hip pop', 'post-teen pop']",Hip-Hop
['norwegian pop'],Pop
"['pop', 'uk pop', 'alt z', 'norwegian pop', 'indie cafe pop', 'post-teen pop', 'electropop', 'dance pop', 'tropical house']",Pop
"['miami hip hop', 'dance pop', 'pop', 'pop rap', 'latin']",Pop
"['lgbtq+ hip hop', 'neo soul', 'alternative r&b', 'pop', 'hip hop']",Hip-Hop
"['swedish pop', 'eurovision', 'europop']",Pop
"['swedish idol pop', 'eurovision', 'swedish pop', 'europop']",Pop
"['anime', 'j-poprock', 'otacore']",Pop
"['rockabilly', 'rock-and-roll', 'classic rock', 'blues rock', 'soul', 'rock']",Rock
['dutch hip hop'],Hip-Hop
"['rap', 'conscious hip hop', 'west coast rap', 'hip hop']",Rap
['alternative hip hop'],Hip-Hop
"['dance pop', 'pop', 'post-teen pop', 'australian hip hop', 'pop rap', 'hip pop']",Pop
"['latin', 'bachata', 'latin hip hop', 'latin pop']",Latin
"['conscious hip hop', 'dmv rap', 'pop rap', 'rap', 'hip hop']",Hip-Hop
"['modern rock', 'indie rock']",Rock
"['nigerian hip hop', 'azonto', 'afro dancehall', 'nigerian pop', 'afropop']",Pop
"['alt z', 'social media pop', 'pop', 'post-teen pop']",Pop
"['pop', 'post-teen pop']",Pop
"['rap', 'conscious hip hop', 'hip hop', 'underground hip hop']",Rap
"['trap latino', 'reggaeton', 'reggaeton flow', 'latin']",Latin
"['pop rap', 'pop', 'electropop', 'modern rock']",Rap
"['rap', 'trap', 'pop rap', 'southern hip hop', 'hip hop', 'gangster rap']",Rap
"['stomp and holler', 'indie folk', 'indie pop']",Pop
"['melodic rap', 'rap', 'trap', 'pop rap']",Rap
"['melodic rap', 'viral rap', 'rap', 'atl hip hop', 'trap', 'hip hop', 'underground hip hop']",Rap
"['candy pop', 'pixie', 'pop emo', 'pop punk', 'emo']",Pop
"['plugg', 'atl hip hop', 'rap', 'trap']",Hip-Hop
"['pop rock', 'piano rock', 'pop', 'dance pop', 'post-teen pop']",Pop
"['pop punk', 'emo', 'modern rock']",Pop
"['rock independant francais', 'alternative dance', 'indie rock', 'new rave', 'modern rock', 'indie pop']",Rock
"['metropopolis', 'art pop', 'indie pop', 'dance pop', 'pop rock']",Pop
"['pop venezolano', 'pop reggaeton', 'pop peruano', 'latin', 'latin pop', 'reggaeton', 'dominican pop', 'trap latino']",Pop
"['beatlesque', 'glam rock', 'bow pop', 'art rock', 'classic rock', 'album rock', 'soft rock', 'rock', 'mellow gold', 'symphonic rock']",Rock
"['yacht rock', 'classic rock', 'mellow gold', 'soft rock', 'album rock', 'rock']",Rock
"['tropical house', 'german dance', 'pop dance', 'edm', 'dance pop', 'pop edm', 'pop', 'electro house', 'pop rap']",EDM
"['tropical house', 'pop dance', 'new french touch', 'edm']",EDM
['portuguese pop'],Pop
"['moldovan pop', 'eurovision']",Pop
['eurovision'],Regional
"['grunge', 'rock', 'alternative rock', 'alternative metal', 'nu metal', 'hard rock', 'blues rock', 'modern rock']",Rock
"['supergroup', 'rock', 'permanent wave', 'alternative metal', 'post-grunge', 'nu metal', 'alternative rock']",Rock
"['rock', 'alternative rock', 'alternative metal']",Rock
"['pop', 'post-teen pop', 'dance pop', 'electropop']",Pop
"['permanent wave', 'rock', 'modern rock']",Rock
['canadian pop'],Pop
"['afroswing', 'uk hip hop', 'grime']",Hip-Hop
"['dance pop', 'pop', 'uk pop', 'post-teen pop', 'australian pop', 'tropical house', 'edm', 'electropop', 'pop rap']",EDM
"['pop dance', 'tropical house', 'edm', 'disco house', 'house', 'filter house', 'dance pop', 'electro house', 'vocal house']",EDM
"['dutch hip hop', 'dutch rap pop', 'dutch pop']",Hip-Hop
"['rap', 'trap', 'atl hip hop', 'pop rap', 'southern hip hop', 'hip hop', 'gangster rap']",Rap
"['funk pop', 'pop nacional', 'pagode baiano', 'funk carioca']",Pop
"['reggaeton colombiano', 'colombian pop', 'reggaeton', 'trap latino', 'latin']",Latin
"['pop', 'r&b', 'pop rap']",Pop
"['tropical house', 'pop dance', 'dance pop', 'pop', 'edm']",EDM
"['hands up', 'italo dance', 'eurodance', 'dance pop', 'pop dance']",Pop
"['queens hip hop', 'hip hop', 'hardcore hip hop', 'east coast hip hop', 'gangster rap', 'rap']",Hip-Hop
"['swedish pop', 'europop', 'eurovision', 'swedish idol pop', 'classic swedish pop', 'danspunk', 'norwegian pop', 'swedish pop rap']",Pop
"['rap', 'trap', 'pop rap', 'southern hip hop', 'hip hop']",Rap
"['modern rock', 'modern alternative rock', 'indie poptimism', 'stomp and holler', 'pop rock']",Rock
"['rap', 'hip hop']",Rap
"['modern country rock', 'contemporary country', 'country road', 'country']",Country
"['rock', 'classic rock', 'southern rock', 'album rock', 'hard rock', 'blues rock', 'country rock', 'mellow gold']",Rock
"['dance pop', 'pop', 'post-teen pop', 'electropop']",Pop
"['dance pop', 'pop', 'urban contemporary', 'pop rap', 'post-teen pop']",Pop
['urbano espanol'],Latin
"['la pop', 'pop', 'post-teen pop']",Pop
"['modern rock', 'modern alternative rock', 'indie rock', 'rock']",Rock
"['neo mellow', 'pop rock', 'pop', 'celtic rock', 'viral pop', 'post-teen pop', 'dance pop']",Pop
"['folk-pop', 'pop rock', 'modern rock', 'pop']",Pop
"['hamburg hip hop', 'german hip hop']",Hip-Hop
"['k-pop', 'k-pop boy group']",Pop
,
"['edm', 'pop dance', 'pop edm', 'electropowerpop', 'tropical house', 'dance pop', 'electro house', 'electropop', 'pop', 'indie poptimism']",EDM
"['bachata', 'latin']",Latin
"['trap', 'southern hip hop', 'pop rap', 'tennessee hip hop', 'rap', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'hip hop']",Hip-Hop
"['rap latina', 'latin viral pop', 'reggaeton', 'latin pop', 'trap latino', 'pop', 'dance pop', 'latin']",Latin
"['mexican pop', 'latin pop']",Pop
"['electropop', 'dance pop', 'uk pop', 'metropopolis', 'pop', 'candy pop', 'hyperpop', 'art pop', 'post-teen pop']",Pop
['belgian edm'],EDM
"['pop rap', 'pop', 'rap', 'dance pop']",Pop
"['latin viral pop', 'latin arena pop', 'latin pop', 'reggaeton', 'spanish pop', 'latin']",Pop
"['funk pop', 'pop nacional', 'pop lgbtq+ brasileira', 'funk carioca', 'dance pop', 'pop']",Pop
"['melodic rap', 'rap', 'atl hip hop', 'r&b', 'trap', 'alternative r&b', 'pop rap', 'hip hop']",Rap
"['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']",Latin
"['edm', 'pop dance', 'pop', 'dance pop']",EDM
"['pop', 'dance pop', 'post-teen pop']",Pop
"['brostep', 'pop', 'progressive electro house', 'pop dance', 'edm']",Pop
"['pittsburgh rap', 'rap', 'pop rap', 'southern hip hop', 'trap', 'hip hop', 'dance pop']",Rap
['reggaeton flow'],Regional
"['soft rock', 'new wave pop', 'europop']",Rock
"['post-grunge', 'modern rock', 'pop punk', 'rock']",Rock
"['permanent wave', 'post-grunge', 'rock', 'alternative rock', 'modern rock', 'alternative metal']",Rock
"['r&b', 'pop', 'urban contemporary', 'dance pop']",R&B & Soul
"['rap', 'trap', 'hip hop', 'vapor trap', 'southern hip hop']",Rap
"['trap latino', 'reggaeton']",Latin
"['dfw rap', 'vapor trap', 'trap', 'cali rap', 'underground hip hop', 'rap']",Rap
"['reggaeton', 'latin', 'trap latino', 'latin hip hop', 'reggaeton flow']",Latin
"['dance pop', 'post-teen pop', 'pop', 'talent show', 'neo mellow', 'pop rock']",Pop
"['permanent wave', 'irish rock', 'rock']",Rock
"['miami hip hop', 'emo rap', 'trap', 'vapor trap', 'social media pop', 'rap']",Rap
"['rap latina', 'reggaeton', 'trap latino', 'latin', 'latin pop']",Latin
"['latin', 'pop reggaeton', 'panamanian pop', 'reggaeton', 'pop peruano', 'latin pop', 'latin hip hop', 'trap latino']",Latin
"['swedish electropop', 'swedish pop', 'swedish synthpop', 'electropop']",Pop
['modern alternative pop'],Pop
"['rap', 'trap', 'pop rap', 'hip hop', 'southern hip hop', 'underground hip hop']",Rap
"['pop dance', 'slap house', 'edm', 'dutch house', 'tropical house', 'progressive electro house', 'electro house', 'dance pop', 'pop']",EDM
"['pop urbaine', 'french hip hop', 'francoton', 'rap francais']",Rap
['german hip hop'],Hip-Hop
"['heartland rock', 'rock', 'classic rock', 'mellow gold', 'singer-songwriter', 'roots rock', 'album rock', 'soft rock', 'pop rock', 'folk rock']",Rock
"['rock', 'heartland rock', 'classic rock', 'album rock', 'mellow gold', 'roots rock', 'folk rock', 'soft rock', 'pop rock', 'hard rock']",Rock
"['pop rap', 'rap', 'hip hop']",Rap
"['contemporary country', 'country road']",Country
"['melodic rap', 'rap', 'atl hip hop', 'plugg', 'trap', 'southern hip hop', 'pop rap', 'hip hop']",Rap
['london rap'],Rap
"['german hip hop', 'german pop']",Hip-Hop
"['funk rock', 'funk metal', 'permanent wave', 'alternative rock', 'rock']",Rock
"['pop', 'uk pop', 'alt z', 'post-teen pop', 'dance pop', 'electropop', 'tropical house', 'indie poptimism', 'pop dance', 'edm']",EDM
"['reggaeton', 'latin hip hop', 'latin', 'trap latino', 'reggaeton flow']",Latin
"['r&b', 'pop rap', 'urban contemporary', 'dance pop', 'trap', 'pop', 'pop r&b', 'rap', 'southern hip hop', 'hip hop']",R&B & Soul
"['pop rap', 'trap', 'trap soul', 'r&b', 'southern hip hop', 'pop', 'hip hop']",Rap
"['disco', 'post-disco', 'funk', 'quiet storm']",Pop
"['rap', 'atl hip hop', 'trap', 'pop rap', 'southern hip hop', 'hip hop']",Rap
"['hard rock', 'rock', 'australian rock']",Rock
"['novelty', 'halloween']",Novelty
